大学八级英语单词|abase|英[ə'beɪs] 美[ə'beɪs]|v.降低……的地位；降低……的品格；贬低|The president is not willing to abase himself before the nation.|总统不愿在全国人民面前降低自己的威信。|大学八级英语单词
大学八级英语单词|aboveboard|英[ə'bʌv'bɔːd] 美[ə'bʌv'boʊrd]|adv.光明正大地；率直地<br>adj.光明正大的；率直的|Everything we do is aboveboard and never furtive.<br>His business dealings were aboveboard.|做任何事，我们都是光明正大的，从不偷偷摸摸。<br>他的生意来往是光明正大的。|大学八级英语单词
大学八级英语单词|abrade|英[ə'breɪd] 美[ə'breɪd]|v.擦伤；磨损|The cook is trying to abrade carrote into threads.|厨师正在把胡萝卜磨成细丝。|大学八级英语单词
大学八级英语单词|abridge|英[ə'brɪdʒ] 美[ə'brɪdʒ]|v.删节；缩短；限制|He decide to abridge his stay here after he receive a letter from home.<br>This is an abridged edition of "war and peace".<br>It was abridged from the original work.|他接到家信后决定缩短在这里的逗留时间。<br>这是「战争与和平」的节略版。<br>这是原书的节录本。|大学八级英语单词
大学八级英语单词|abrogate|英['æbrəɡeɪt] 美['æbrəɡeɪt]|v.废除；取消|The government cannot just abrogate contracts.<br>I want to report the loss of credit card and abrogate it.|政府不能单纯的撤销合同。<br>我要办理信用卡挂失并取消那张卡。|大学八级英语单词
大学八级英语单词|abscission|英[æb'sɪʒən] 美[æb'sɪʒən]|n.切断；除去|The autumn winds caused the abscission of the leaves from the trees.|秋风导致树叶脱落。|大学八级英语单词
大学八级英语单词|abscond|英[əb'skɒnd] 美[əb'skɑːnd]|v.潜逃；逃匿|He absconded from the country.<br>He absconded from the bank with all the money.<br>He attempted to abscond from the punishment.<br>You can not abscond from your responsibilities.|他已潜逃出境。<br>他拿走了银行的全部现金，潜逃无踪。<br>他企图逃避惩罚。<br>你不能逃避你的职责。|大学八级英语单词
大学八级英语单词|absolve|英[əb'zɒlv] 美[əb'zɑːlv]|vt.宣告……无罪；赦免|The police absolved the suspect.<br>He cannot entirely absolve himself of the charge.<br>The captain is absolved from all blame and responsibility for the shipwreck.|警方释放了嫌疑犯。<br>他不能完全开脱掉这一指责。<br>那位船长被免除了因船只失事而遭致的非难和罪责。|大学八级英语单词
大学八级英语单词|abstain|英[əb'steɪn] 美[əb'steɪn]|v.戒绝；弃权；节制|He swore to abstain from smoking.<br>A high percentage of women said they had abstained from alcohol during pregnancy.<br>Six countries voted for the change, five voted against, and two abstained.<br>He abstained from speaking at the meeting.|他发誓要戒烟。<br>很大比例的妇女称他们在怀孕期间戒了酒。<br>六个国家投票赞成改变，五个反对，还有两个弃权。<br>会上，他默不作声。|大学八级英语单词
大学八级英语单词|abstemious|英[əb'stiːmiəs] 美[əb'stiːmiəs]|adj.有节制的；节省的|She is an abstemious eater, only consuming small portions of food.|她是一个节制的吃货，只食用很少的份量。|大学八级英语单词
大学八级英语单词|abstruse|英[əb'struːs] 美[əb'struːs]|adj.深奥的|Philosophical semantics is too abstruse to understand.|哲学语义学深奥难懂。|大学八级英语单词
大学八级英语单词|abut|英[ə'bʌt] 美[ə'bʌt]|v.邻接；毗连|His land abuts on mine.<br>Can't. I have to go and see a man abut a horse, Ask you mother to listen to you.|他的土地和我的土地相毗连。<br>我不能，我有点事得出去，请你妈妈听你弹吧。|大学八级英语单词
大学八级英语单词|abysmal|英[ə'bɪzməl] 美[ə'bɪzməl]|adj.深不可测的；极坏的；完全的|Woeful souls are wailing in an abysmal pond.<br>Although there is an abysmal lack of educational software, the number of computers in scholos expands rapidly.<br>The film was so abysmal that I fell asleep.<br>Despite this, in many developing countries, the literacy rate for women is abysmal.<br>He took courses to remedy his abysmal ignorance.<br>These strata, lying apparently in contact, is in fact abysmal separate.|悲伤的灵魂在无底的深潭里嚎啕。<br>虽然教学上用的软件十分紧缺，学校的计算机数量却迅速增加。<br>电影太糟糕，看得我睡着了。<br>尽管如此，许多发展中国家的妇女识字率却令人叹息。<br>他学习课程以弥补他极端的无知。<br>这些表面上相触的地层实际上相隔很远。|大学八级英语单词
大学八级英语单词|accede|英[ək'siːd] 美[ək'siːd]|v.同意；继承；即位；加入|We acceded to his request.<br>The only child acceded to the family estate.<br>Queen Victoria acceded to the throne in 1837.<br>Our government acceded to the treaty.|我们同意他的请求。<br>这个独生子继承了家产。<br>维多利亚女王于 1837 年即位。<br>我国政府加入了该条约。|大学八级英语单词
大学八级英语单词|acclimate|英['ækləmeɪt] 美['ækləmeɪt]|v.使习惯于新环境|It took some time for the new student to acclimate to the school.|新学生花了一些时间来适应学校的生活。|大学八级英语单词
大学八级英语单词|accolade|英['ækəleɪd] 美['ækəleɪd]|n.表扬；嘉奖；武士爵位的授与|He enjoys that double-edged accolade of being a "friend of China".<br>In Hollywood, an "Oscar" is the highest accolade.|福田很享受作为「中国人的朋友」而获得的双方的赞誉。<br>奥斯卡金像奖是好莱坞最高荣誉奖。|大学八级英语单词
大学八级英语单词|accretion|英[ə'kriːʃn] 美[ə'kriːʃn]|n.生长；增加；连生；积累而成的东西；添加物；【地】冲积层|The fund was increased by the accretion of new shareholders.<br>The chimney was blocked by an accretion of soot.<br>The mythical story has been overlaid by literary accretions.|随着新股民的增加，基金上涨了。<br>烟囱被聚积的煤烟子堵塞了。<br>这个虚构的故事是由一些文学添加而成的。|大学八级英语单词
大学八级英语单词|acerbic|英[ə'sɜːbɪk] 美[ə'sɜːrbɪk]|adj.酸的；尖酸的|The letter was written in her usual acerbic style.<br>One acerbic blogger calls her "Obama's bitter half".<br>Mr. Foster goes through this with acerbic thoroughness.|这封信是用她惯常的尖刻语调写的。<br>有一位尖刻的博客将她称为「让奥巴马痛苦的另一半」。<br>福氏在记述这部分内容时，叙述详尽，用语尖刻。|大学八级英语单词
大学八级英语单词|achromatic|英[ˌækrəʊ'mætɪk] 美[ˌækrə'mætɪk]|adj.无色的；[生]非染色质的；[音]自然音阶的|The achromatic lens does not refract color.|无色透镜不会折射颜色。|大学八级英语单词
大学八级英语单词|acme|英['ækmi] 美['ækmi]|n.顶点；极点|It reached its acme of perfection.<br>Schubert reach the acme of his skill while quite young.<br>His landscapes were deemed the acme of beauty.<br>His calligraphy has reached the acme of perfection.|它到达完美的最高点。<br>舒伯特的技巧在他十分年轻时即已达顶峰。<br>他的风景画被视为美之极致。<br>他的书法已达到出神入化的境界。|大学八级英语单词
大学八级英语单词|acquiesce|英[ˌækwi'es] 美[ˌækwi'es]|vi.默许；勉强同意|She wants to marry a poor primary-school teacher but her parents will never acquiesce.<br>Even if the rest of the world is willing to acquiesce in the consolidation of copyright power in the entertainment industries, we should not be.|她想嫁一位贫穷小学教师，但她的父母永不会默许。<br>即使世界上的其他国家默许娱乐业的著作霸权，我们也不应该这样做。|大学八级英语单词
大学八级英语单词|acrid|英['ækrɪd] 美['ækrɪd]|adj.苦味的；辛辣的；尖刻的|An acrid brown gum resin is now used mainly in veterinary medicine.<br>The acrid smell carried across the table.<br>This is an acrid and pungent substance.<br>There is an acrid tone to your remarks.<br>Her acrid remarks make her many enemies.|一种苦味棕色的树胶树脂现在主要用于兽用药物。<br>一股辛辣的味道在桌子周围弥漫开来。<br>这是一种辛辣而带刺激性的物质。<br>你说这些话的口气带有讥刺意味。<br>她尖刻的评论使她有许多敌人。|大学八级英语单词
大学八级英语单词|acrimonious|英[ˌækrɪ'məʊniəs] 美[ˌækrɪ'moʊniəs]|adj.尖刻的；激烈的；刻薄的；辛辣的|His tendency to utter acrimonious remarks alienated his audience.<br>His parents went through an acrimonious divorce.|他发表尖刻言论的倾向使得他的听众疏远了他。<br>他的父母在激烈争吵中离了婚。|大学八级英语单词
大学八级英语单词|acumen|英['ækjəmən] 美['ækjəmən]|n.敏锐；聪明|His business acumen helped him to succeed where others had failed.<br>Her business acumen has made her very successful.<br>The Parisian police, so much extolled for acumen, are cunning, but no more.|他在商业上的敏锐帮他在其他人失败的地方获得成功。<br>她灵活的经商头脑使她的生意十分兴隆。<br>巴黎警察一向以聪明称道于世，其实不过是狡猾罢了。|大学八级英语单词
大学八级英语单词|adage|英['ædɪdʒ] 美['ædɪdʒ]|n.格言；谚语；古话|The adage really enlightened me since my youth.<br>Nearly 150 years later, variations of this adage are still quoted.|这句格言从我青年时代起就给了我真正的启示。<br>差不多在 150 年之后，这个变化了的谚语一直被引用。|大学八级英语单词
大学八级英语单词|adamant|英['ædəmənt] 美['ædəmənt]|adj.坚定不移的；固执的<br>n.坚硬无比之物；硬石|She was quite adamant that she would not come.<br>She was adamant in refusing to comply with his wishes.<br>She became as rigid as adamant.|她坚决不来。<br>她固执地拒绝按他的意愿办。<br>她变得如顽石般的固执。|大学八级英语单词
大学八级英语单词|addendum|英[ə'dendəm] 美[ə'dendəm]|n.补遗；附录|The part brachiopod genera and species are described as addendum in this paper.<br>This is an addendum to the book.<br>Six parts and one addendum are separated in the paper.|文中补遗描述部分腕足类属种。<br>这是本书的附录。<br>论文由六章和一个附录组成。|大学八级英语单词
大学八级英语单词|addict|英['ædɪkt] 美['ædɪkt]|vt.沉溺；使……上瘾<br>n.耽溺者；上瘾者|The young generation should addict themselves to science.<br>His tastes addict him to the study of antiquity.<br>He was addicted to cocaine.<br>He is turning into an internet addict.<br>My wife is a typical soap opera addict.<br>He confessed to being a drug addict.|年轻的一代应该酷爱科学。<br>嗜好使他沉迷于研究古代的事物。<br>他吸可卡因上瘾。<br>他快变成网虫了。<br>我太太是标准的连续剧迷。<br>他承认自己有毒瘾。|大学八级英语单词
大学八级英语单词|adjourn|英[ə'dʒɜːn] 美[ə'dʒɜːrn]|v.（使）延期；中止；换地方|The meeting adjourned till five o'clock.<br>The chairman adjourn the meeting for a week.<br>The motion to adjourn was carried.<br>The meeting will adjourn sine die.<br>Capitol Hill will adjourn early this year.<br>Why don' t we adjourn to the local hostelry ?|会议延至五点召开。<br>主席把会议延期一周。<br>休会的提议通过了。<br>这个会议将会无限期休会。<br>美国国会今年将提前休会。<br>我们怎么不搬到本地旅馆去住呢？|大学八级英语单词
大学八级英语单词|adjunct|英['ædʒʌŋkt] 美['ædʒʌŋkt]|n.附属物；附件；修饰语；帮手，助手<br>adj.附属的，附加的；临时的，副的|An adjunct professor is hired to teach for a limited time, usually one semester.|一个兼职教授被聘用来只教有限时间的课程，通常只有一个学期。|大学八级英语单词
大学八级英语单词|ad-lib|英[ˌæd'lɪb] 美[ˌæd'lɪb]|v.即兴演唱；临时穿插；信口说出<br>n.即兴表演<br>adj.即兴表演的；临时插入的<br>.|The comedian ad libbed most of his routine.|那个喜剧演员大多是即兴表演。|大学八级英语单词
大学八级英语单词|admonish|英[əd'mɒnɪʃ] 美[əd'mɑːnɪʃ]|vt.警告；训诫；告诫；提醒；敦促|He was admonished for his carelessness.<br>His wife admonished him not to drive too fast.<br>He has very sternly admonished student.<br>He was admonished against doing wrong.<br>I admonished him of the need for silence.|他因粗心受到警告。<br>他的妻子警告他开车不要超速。<br>他十分严厉地训诫了学生。<br>人们告诫他不要做坏事。<br>我提醒他缄默的必要。|大学八级英语单词
大学八级英语单词|adulate|英['ædʒʊleɪt] 美['ædʒəˌleɪt]|vt.奉承；谄媚|They are fools who adulate every decision of their leaders.|对领导的每个决定一味奉承的人是蠢材。|大学八级英语单词
大学八级英语单词|adulterate|英[ə'dʌltəreɪt] 美[ə'dʌltəreɪt]|v.搀……使品质变劣<br>adj.掺假的；通奸的|It is a crime to adulterate foods without informing the buyer.<br>They have to adulterate a Chinese sentence with words taken from English or Malay.|不告知买主就对食物掺杂是犯罪。<br>他们一句话里头总是掺杂了英语单词或马来语词汇。|大学八级英语单词
大学八级英语单词|adumbrate|英['ædəmbreɪt] 美['ædəmbreɪt]|v.画轮廓；概述；预示|The dark clouds adumbrated the arrival of the approaching storm.|乌云预示着即将到来的暴风雨。|大学八级英语单词
大学八级英语单词|adversary|英['ædvəsəri] 美['ædvərseri]|n.敌手；对手|He set at his adversary in strong language.<br>You may have a hidden adversary who would love to prove you wrong.<br>He was dismayed at the size of his adversary.<br>They continued to view it as their major adversary.|他以强硬的语言抨击他的敌手。<br>你可能有一个潜在的敌手，他时刻准备着与你作对。<br>对手的魁伟身材使他丧失了勇气。<br>他们继续把它看作主要的对手。|大学八级英语单词
大学八级英语单词|advert|英['ædvɜːt] 美['ædvɜːrt]|n.广告<br>vi.注意；谈到（后接 to）|She answered an advert for a job as a cook.<br>She came across and advert for the book Bible Basics.|她应聘了厨师的招聘广告。<br>她偶然留意到圣经基础这本书。|大学八级英语单词
大学八级英语单词|aerate|英['eəreɪt] 美['ereɪt]|vt.充气；使通气|The potatoes were set outside to aerate.<br>Each insect contributes something just as ants aerate the soil.|马铃薯放到外面通风。<br>每一种昆虫都贡献了一些事情，就象蚂蚁松土给土壤增加空气一样。|大学八级英语单词
大学八级英语单词|aesthetic|英[iːs'θetɪk] 美[es'θetɪk]|adj.美学的；审美的；有美感的<br>n.（复数）审美观|Later he also gained in aesthetic knowledge.<br>From an aesthetic point of view it's a thetic view.<br>The professor advanced a new aesthetic theory.<br>His aesthetic ideas were his own.<br>It also shows the aesthetic values of the time.<br>And it has greater aesthetic value.<br>Music induces aesthetic feeling in us<br>These pictures give us aesthetic satisfaction.<br>Natural aesthetic is the core of Chinese aesthetics.|后来他的美学知识也增加了。<br>从美学观点来说，这是个武断的看法。<br>那位教授提出了新的美学理论。<br>他有他自己的审美观念。<br>它也显示出当时的社会审美时尚<br>而且这幅画颇具审美价值。<br>音乐使我们产生美感。<br>这些画给我们带来了美的享受。<br>自然审美是中国古代美学的核心。|大学八级英语单词
大学八级英语单词|affable|英['æfəbl] 美['æfəbl]|adj.谦恭有礼的；和蔼可亲的；易于交谈的；慈祥的；殷勤的|I am affable to everyone.<br>We all like this affable teacher.<br>He found her parents very affable.<br>Granny smiled an affable smile.|我对每个人都彬彬有礼。<br>我们都喜欢这位和蔼可亲的老师。<br>他觉得她父母很好说话。<br>奶奶慈祥地笑了笑。|大学八级英语单词
大学八级英语单词|affected|英[ə'fektɪd] 美[ə'fektɪd]|adj.受影响的；受感动的；受疾病侵袭的<br>adj.做作的；假装的<br>动词 affect 的过去式和过去分词。|It is said that the rhythm of tides is affected by the moon.<br>He was much affected by the sad news.<br>His affected manners are painful to endure.<br>The girl was neither affected nor pretentious.<br>She showed an affected interest in our subject.|据说潮汐的涨落受月亮的影响。<br>这个悲惨的消息使他非常难过。<br>他做作的举止让人不堪忍受。<br>这位姑娘既不虚伪也不做作。<br>她假装对我们的课题感到兴趣。|大学八级英语单词
大学八级英语单词|affidavit|英[ˌæfə'deɪvɪt] 美[ˌæfə'deɪvɪt]|n.宣誓书|Fairford ran over the affidavit.<br>But an affidavit filed by Eastern Health as a response to the lawsuit shows the error rate is actually much higher.|费尔福特把宣誓书匆匆看了一遍。<br>但在东部卫生组织回应这场官司的宣誓书中，误差率实际上远远高于预期。|大学八级英语单词
大学八级英语单词|affiliate|英[ə'fɪlieɪt] 美[ə'fɪlieɪt]|n.分公司；附属机构<br>vt.使隶属于；接纳；追溯<br>vi.发生联系|It is an affiliate of the Red Cross.<br>Do I get the product as part of the affiliate program?<br>I affiliate myself with their team to get more information on the share market.<br>The Committee regrets that it cannot right now affiliate your group to their Society.<br>If we affiliate, we will have a better chance to win.|它是红十字会的一个份子。<br>我得到的附属产品作为节目？<br>我和他们组密切联系以获得更多股票市场的信息。<br>那个委员会很抱歉，不能马上将你们的团体并入他们的学会。<br>如果我们加入的话，赢的可能性更大。|大学八级英语单词
大学八级英语单词|affinity|英[ə'fɪnəti] 美[ə'fɪnəti]|n.姻亲；密切关系；吸引力|He is not an impartial witness because of his affinity with the accused.<br>There is an affinity between Chinese and Japanese character.<br>She feels a strong affinity to him.<br>This substance has an affinity for water.|他不是公正的见证人，因为他与被告有姻亲关系。<br>汉字与日文之间有密切关系。<br>她感到他对她有很强的吸引力。<br>这物质和水有亲和力。|大学八级英语单词
大学八级英语单词|affluent|英['æfluənt] 美['æfluənt]|adj.富裕的<br>n.支流|We live in an affluent society .<br>He was born to an affluent family.<br>A car and a house are considered as necessities in an affluent society.|我们生活在一个富裕的社会中。<br>他生在富裕人家。<br>在一个富裕的社会里，汽车和洋房都被当作是必需品。|大学八级英语单词
大学八级英语单词|aggrandize|英[ə'grændaɪz] 美[ə'grænˌdaɪz]|vt.增加；夸大；提高<br>=aggrandise（英）.|Indeed, it should be pointed out that although women status were greatly improved, we can not aggrandize the improvement.<br>Indeed, it should be pointed out that although women status were greatly improved, we can not aggrandize the improvement.|当然，应该指出的是，妇女的地位尽管在罗马后期有了很大的提高，但我们不能夸大这种提高。<br>当然，应该指出的是，妇女的地位尽管在罗马后期有了很大的提高，但我们不能夸大这种提高。|大学八级英语单词
大学八级英语单词|aggravate|英['æɡrəveɪt] 美['æɡrəveɪt]|vt.恶化；严重|Scratching can aggravate the rash.<br>The Europeans' appeasement policy towards irrational regimes would only aggravate the hidden dangers.<br>This will aggravate the current scarcity of natural resources caused by environmental degradation.<br>The lack of rain aggravated the already serious shortage of food.|搔痒会使疹子发炎。<br>欧洲国家对非理性政权的绥靖政策，只会让潜在危机恶化。<br>这将会加剧由环境恶化而导致的自然资源匮乏的情况。<br>干旱少雨使原本就很严重的粮食短缺问题更加严重。|大学八级英语单词
大学八级英语单词|aggregate|英['æɡrɪɡət] 美['æɡrɪɡət]|adj.合计的；总的<br>n.总计；进球总数；集料<br>v.（使）聚集；总计|What were your aggregate wages last year?<br>The cause of unemployment was inadequate aggregate demand.<br>Manager wants to know the aggregate sales in that market.<br>The tax increases will, in the aggregate, cause much hardship.<br>This mixture of pozzolana and lime was then added to an aggregate.<br>Occasionally the cells might aggregate to form lentoid bodies.<br>The television audience aggregated 30 millions.<br>The sum will aggregate a thousand dollars.|去年你的工资一共是多少？<br>失业的原因在于总需求不足。<br>经理想知道那个市场的总销售量。<br>增加税收归结起来将造成很多困难。<br>人们把火山灰与石灰的混合物加到集料中。<br>偶而，细胞能聚集形成类晶体球体。<br>电视观众合计达 3000 万人。<br>总额共计一千元。|大学八级英语单词
大学八级英语单词|aggrieve|英[ə'griːv] 美[ə'griːv]|vt.使……受屈；使……苦恼|The loss of the game aggrieved the players.|输掉比赛让球员们感到痛苦。|大学八级英语单词
大学八级英语单词|airtight|英['eətaɪt] 美['ertaɪt]|adj.密封的；不透气的；无懈可击的|The goods are to be sent in airtight package.<br>We need an airtight bottle to keep this expensive medicine dry.<br>Store tea in an airtight container away from strong smells.<br>He had an airtight alibi for that night.<br>He can make somebody's will so airtight you can't break it.|这批货物应密封包装运送。<br>我们需要一个密封罐以便使这昂贵的药维持干燥。<br>把茶叶贮存在不透风的罐子里，避开异味。<br>他有无懈可击的证据证明那一夜他不在犯罪现场。<br>他能帮别人把遗嘱写的无懈可击。|大学八级英语单词
大学八级英语单词|alacrity|英[ə'lækrəti] 美[ə'lækrəti]|n.敏捷；活泼；乐意|She sprang to the door with alacrity.<br>Although the man was very old, he still moved with alacrity.<br>He accepted her offer with alacrity.|她敏捷地跳到门口。<br>他虽然很老，动作仍很敏捷。<br>他欣然接受了她的建议。|大学八级英语单词
大学八级英语单词|albino|英[æl'biːnəʊ] 美[æl'baɪnoʊ]|n.白化病者；白化变种<br>adj.白化的|In April 2005, a female albino cobra laid 20 eggs.<br>I ended up living with this albino guy who was cleaning windshields.|2005年 4 月，一只患白化病的雌眼镜蛇产下 20 个卵。<br>最后我和患白化症的男人同居。他为港务局的人清洗车窗。|大学八级英语单词
大学八级英语单词|alchemy|英['ælkəmi] 美['ælkəmi]|n.炼金术；魔力|One of the supreme quests of alchemy is to transmute lead into gold.|炼金术的终极目的之一是将铅转化为金。|大学八级英语单词
大学八级英语单词|alibi|英['æləbaɪ] 美['æləbaɪ]|n.不在场证明或辩解；托辞<br>v.辩解；找托辞开脱|They've got nothing on me I've got an alibi.<br>The false alibi threw the police off the scent.<br>The alibi was fabricated by him.<br>I was disappointed that Cathy cooked up an alibi.|他们没抓我的罪证，我有不在现场的证据。<br>那个不在犯罪现场的伪证使警方失去了线索。<br>这种托辞是他臆造出来的。<br>我感到很失望的是凯瑟编造了一个托辞。|大学八级英语单词
大学八级英语单词|align|英[ə'laɪn] 美[ə'laɪn]|vt.使结盟；使一致；使成一行；调整；排列<br>vi.成一条线|The iron flings align themselves in the direction of the magnetic field.<br>Could you align this table with those?<br>How can I align these bricks with the rest of the wall?<br>While water skiing, you should try to align the skis.<br>The iron flings align themselves in the direction of the magnetic field.<br>Irregularly shaped bodies will align their long axis to point towards the planet.|铁屑按磁场的方向排列。<br>你能把这张桌子同那些桌子排成一行吗？<br>我怎么才能将这些砖与其余的墙对齐（排成直线）?<br>滑水的时候应尽量保持滑水板不偏斜。<br>铁屑按磁场的方向排列。<br>不规则地成形身体将会排列他们的长轴向行星指出。|大学八级英语单词
大学八级英语单词|allay|英[ə'leɪ] 美[ə'leɪ]|v.减轻；使……缓和|There pills will allay your pain.<br>More reading may be allaying your doubt.<br>The employer was forced to allay the tumult.|这药丸可以减轻你的疼痛。<br>多读书或许可以减少你的疑惑。<br>雇主被迫缓和骚乱。|大学八级英语单词
大学八级英语单词|allegiance|英[ə'liːdʒəns] 美[ə'liːdʒəns]|n.忠诚；效忠|The judge received their oath of allegiance.<br>Private members keep up their outward allegiance to the parties they belong to.<br>His allegiance has never been questioned.<br>The soldiers swore allegiance to their motherland.<br>He abjured his allegiance to the king.|法官听取了他们的忠诚誓言。<br>议员们对各自所属的党派保持表面上的忠诚。<br>他的忠心是毫无疑问的。<br>士兵们宣誓效忠于他们的祖国。<br>他发誓不再效忠皇帝。|大学八级英语单词
大学八级英语单词|alleviate|英[ə'liːvieɪt] 美[ə'liːvieɪt]|vt.减轻；使……缓和|They alleviated the boredom of waiting by singing songs.<br>The doctor gave her an injection to alleviate the pain.<br>This medicine will alleviate your sore throat.<br>He could only alleviate the sorrow by drinking.<br>He told a joke to alleviate the tense atmosphere in the room.|他们以唱歌来减轻等候的厌烦。<br>医生给她注射以减轻疼痛。<br>这种药会减轻你的嗓子痛。<br>他只能借酒浇愁。<br>他讲了个笑话以缓解室内紧张的气氛。|大学八级英语单词
